in:Windows,in:Roof,in:Walls,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
double_glas,m_r_insulation,m_insulation,True,True,47.721308,1.167385,55.522174,130.079787,322512.42136,0,577.053243,LT-ready,3,3915.628703,Almost LT-ready,3,5877.012205,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsm_insulation.png
acht_w_foil,m_r_insulation,m_insulation,True,True,42.338751,1.185024,55.539813,124.714869,301999.709607,0,475.067892,LT-ready,3,3657.670749,Almost LT-ready,1,5530.255606,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsm_insulation.png
HR++,m_r_insulation,m_insulation,True,True,38.360434,1.198147,55.552936,120.749675,286838.556591,0,395.62965,LT-ready,2,3471.791549,Almost LT-ready,1,5263.716937,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsm_insulation.png
triple_glas,m_r_insulation,m_insulation,True,True,35.910775,1.209349,55.564138,118.311217,277505.184839,0,346.798162,LT-ready,1,3365.224513,Almost LT-ready,1,5100.737275,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsm_insulation.png
double_glas,h_r_insulation,m_insulation,True,True,44.702808,1.134171,55.48896,127.028073,310979.373491,0,550.983561,LT-ready,2,3706.27622,Almost LT-ready,1,5344.291149,Almost LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsm_insulation.png
acht_w_foil,h_r_insulation,m_insulation,True,True,39.274251,1.156277,55.511066,121.621622,290294.324529,0,448.090255,LT-ready,2,3445.115825,Almost LT-ready,1,4990.245381,Almost LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsm_insulation.png
HR++,h_r_insulation,m_insulation,True,True,35.2521,1.163334,55.518122,117.606528,274961.850832,0,367.980223,LT-ready,0,3253.812108,LT-ready,0,4717.726235,LT-ready,WindowsHR++_Roofh_r_insulation_Wallsm_insulation.png
triple_glas,h_r_insulation,m_insulation,True,True,32.829809,1.175821,55.53061,115.196724,265733.724387,0,318.709267,LT-ready,0,3145.738009,LT-ready,0,4550.690502,LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallsm_insulation.png
double_glas,non_insulated_r,h_insulation,False,True,73.939311,1.505,55.859789,156.635405,422719.664842,0,752.600178,LT-ready,5,5828.747939,Not LT-ready,3,10817.716396,Not LT-ready,Windowsdouble_glas_Roofnon_insulated_r_Wallsh_insulation.png
acht_w_foil,non_insulated_r,h_insulation,False,True,68.882555,1.519684,55.874473,151.593333,403447.265283,0,654.71832,LT-ready,5,5615.657621,Not LT-ready,3,10525.590324,Not LT-ready,Windowsacht_w_foil_Roofnon_insulated_r_Wallsh_insulation.png
HR++,non_insulated_r,h_insulation,False,True,65.108923,1.533681,55.88847,147.833698,389067.224761,0,578.459234,LT-ready,5,5460.641662,Not LT-ready,3,10303.259016,Not LT-ready,WindowsHR++_Roofnon_insulated_r_Wallsh_insulation.png
triple_glas,non_insulated_r,h_insulation,False,True,62.933784,1.542285,55.897074,145.667163,380778.870157,0,531.413474,LT-ready,5,5365.189201,Not LT-ready,3,10168.141465,Not LT-ready,Windowstriple_glas_Roofnon_insulated_r_Wallsh_insulation.png
