in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,m_insulation,h_r_insulation,min gap_s + vC1,False,False,131.867166,3.473529,47.980312,216.78386,49348.46452,802.621196,LT-ready,2157.422029,LT-ready,1.792237,False,6.860731,False,Windowsdouble_glas_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,m_insulation,h_r_insulation,min gap_s + vC1,False,False,114.161833,3.565477,48.07226,199.170475,44429.608166,695.888512,LT-ready,1970.010033,LT-ready,0.43379,True,8.26484,False,Windowsacht_w_foil_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
HR++,m_insulation,h_r_insulation,min gap_s + vC1,False,False,100.57589,3.593288,48.100072,185.612344,40653.046591,609.791678,LT-ready,1823.830355,LT-ready,0,True,9.828767,False,WindowsHR++_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,m_insulation,h_r_insulation,min gap_s + vC1,False,False,92.873428,3.654577,48.161361,177.971171,38514.23401,555.372014,LT-ready,1733.037457,LT-ready,0,True,11.484018,False,Windowstriple_glas_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,h_insulation,h_r_insulation,min gap_s + vC1,False,False,125.516274,3.389153,47.895937,210.348593,47578.184359,746.73117,LT-ready,2119.056055,LT-ready,0.159817,True,7.054795,False,Windowsdouble_glas_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,h_insulation,h_r_insulation,min gap_s + vC1,False,False,107.641106,3.482211,47.988994,192.566482,42612.156214,638.668645,LT-ready,1930.284325,LT-ready,0,True,9.166667,False,Windowsacht_w_foil_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
HR++,h_insulation,h_r_insulation,min gap_s + vC1,False,False,94.400337,3.516882,48.023666,179.360385,38931.924335,551.446613,LT-ready,1782.768931,LT-ready,0,True,11.152968,False,WindowsHR++_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,h_insulation,h_r_insulation,min gap_s + vC1,False,False,86.091019,3.579067,48.08585,171.113251,36624.403123,496.27918,LT-ready,1717.608557,LT-ready,0,True,13.447489,False,Windowstriple_glas_Wallsh_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,l_insulation,m_r_insulation,min gap_s + vC2,False,False,138.108187,3.58961,48.096393,223.140962,51089.783063,835.561195,LT-ready,2537.08751,Almost LT-ready,2.853881,False,6.8379,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
acht_w_foil,l_insulation,m_r_insulation,min gap_s + vC2,False,False,120.872242,3.681683,48.188466,205.99709,46301.459646,730.146381,LT-ready,2355.742246,LT-ready,1.050228,True,8.230594,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
HR++,l_insulation,m_r_insulation,min gap_s + vC2,False,False,107.728722,3.711417,48.218201,192.883305,42648.022855,645.257887,LT-ready,2214.412963,LT-ready,0.262557,True,9.691781,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC2.png
