BAG_pand_i	BAG_pand_b	Q_c_kWh 	Elec_kWh	Pec_4_cooling	COP	Q_v_kWh	Delta_T	H	Volume_m3	ACH_hr	Q_all_kWh	Q_all_GJ	BAG_pand_o	Meest_voor	Hoofdfun_1	Gebruiksop	LNG	LAT
3.631E+14	1923	15163.66337	17839.60396	0.17	4	46702.3079	10.6987785	3.050880626	533.9041096	3	61865.97126	222.7174966	175	D	K	98	4.881529	52.370788
3.631E+14	1765	12445.7092	20742.84867	0.12	4	28373.63012	8.698778498	3.3525	398.9475	3	40819.33932	146.9496216	119	A+	D	50	4.893709	52.375378
3.631E+14	1822	10592.7	14123.6	0.15	4	39972.8302	9.698778498	3.048923679	189.0332681	8	50565.5302	182.0359087	62	C	H	26	4.888379	52.368768
3.631E+14	1997	12550.29499	20917.15832	0.12	4	28612.06399	8.698778498	3.3525	402.3	3	41162.35898	148.1844923	120	A	D	55	4.885777	52.383353
3.631E+14	1905	13709.87723	16129.26733	0.17	4	47502.91889	10.6987785	3.050880626	543.0567515	3	61212.79612	220.366066	178	C	K	36	4.930563	52.370179
3.631E+14	1887	13940.94257	16401.10891	0.17	4	48303.52988	10.6987785	3.050880626	552.2093933	3	62244.47246	224.0801008	181	C	K	43	4.881629	52.369764
3.631E+14	1940	12654.88078	21091.46797	0.12	4	28850.49786	8.698778498	3.3525	405.6525	3	41505.37864	149.4193631	121	A	D	47	4.903295	52.371661
3.631E+14	2005	9211.171552	12281.56207	0.15	4	38038.66099	9.698778498	3.048923679	179.8864971	8	47249.83255	170.0993972	59	B	H	59	4.883236	52.370472
3.631E+14	1976	6161.742574	7249.108911	0.17	4	26687.03308	10.6987785	3.050880626	305.0880626	3	32848.77566	118.2555924	100	A	K	100	4.885227	52.385247
3.631E+14	1005	12864.05237	21440.08728	0.12	4	29327.36559	8.698778498	3.3525	412.3575	3	42191.41796	151.8891046	123	A	D	45	4.929027	52.369669
3.631E+14	1983	82576.5395	97148.87	0.17	4	1341074.466	9.698778498	4	8456	6	1423651.006	5125.143621	2114	C	O	143	4.901421	52.372525
3.631E+14	1935	12130.93069	14271.68317	0.17	4	33625.66169	10.6987785	3.050880626	384.4109589	3	45756.59238	164.7237326	126	E	K	30	4.900207	52.374758
3.631E+14	1928	13073.22395	21788.70658	0.12	4	29804.23332	8.698778498	3.3525	419.0625	3	42877.45727	154.3588462	125	A	D	33	4.898274	52.363543
3.631E+14	1935	19178.42376	22562.85149	0.17	4	44300.47492	10.6987785	3.050880626	506.446184	3	63478.89868	228.5240353	166	G	K	61	4.886179	52.375104
3.631E+14	1897	4535.9825	5336.45	0.17	4	44406.43928	9.698778498	4	280	6	48942.42178	176.1927184	70	G	O	70	4.907646	52.36448
3.631E+14	1635	12846.15259	17128.20345	0.15	4	31591.43032	9.698778498	3.048923679	149.3972603	8	44437.5829	159.9752985	49	G	H	49	4.895905	52.366742
3.631E+14	1005	21388.65259	28518.20345	0.15	4	88327.06028	9.698778498	3.048923679	417.702544	8	109715.7129	394.9765663	137	B	H	53	4.929071	52.369696
3.631E+14	1774	11808.84414	15745.12553	0.15	4	62865.44524	11.6987785	2.9875	985.875	2	74674.28939	268.8274418	330	A	L	230	4.891552	52.380465
3.631E+14	1766	11276.1	15034.8	0.15	4	42551.72247	9.698778498	3.048923679	201.2289628	8	53827.82247	193.7801609	66	C	H	66	4.895761	52.366489
3.631E+14	1905	14249.0297	16763.56436	0.17	4	49371.01121	10.6987785	3.050880626	564.4129159	3	63620.04091	229.0321473	185	C	K	47	4.929921	52.36979
3.631E+14	1909	20680.34851	24329.82178	0.17	4	47769.78922	10.6987785	3.050880626	546.1076321	3	68450.13774	246.4204959	179	G	K	117	4.896389	52.361414
3.631E+14	2006	6223.36	7321.6	0.17	4	26953.90342	10.6987785	3.050880626	308.1389432	3	33177.26342	119.4381483	101	A	K	58	4.910839	52.370604
3.631E+14	1888	13177.80974	21963.01624	0.12	4	30042.66719	8.698778498	3.3525	422.415	3	43220.47693	155.5937169	126	A	D	31	4.929669	52.370094
3.631E+14	1688	21026.94653	24737.58416	0.17	4	48570.40021	10.6987785	3.050880626	555.260274	3	69597.34675	250.5504483	182	G	K	182	4.894251	52.370222
3.631E+14	1976	6777.916832	7974.019802	0.17	4	29355.73639	10.6987785	3.050880626	335.5968689	3	36133.65322	130.0811516	110	A	K	110	4.885065	52.385327
3.631E+14	1931	14865.20396	17488.47525	0.17	4	51505.97385	10.6987785	3.050880626	588.8199609	3	66371.17781	238.9362401	193	C	K	56	4.898669	52.370357
3.631E+14	2014	7517.325941	8843.912871	0.17	4	32558.18036	10.6987785	3.050880626	372.2074364	3	40075.5063	144.2718227	122	A	K	122	4.889596	52.375487
3.631E+14	1896	14600.02549	19466.70065	0.15	4	77724.55048	11.6987785	2.9875	1218.9	2	92324.57597	332.3684735	408	A	L	408	4.895956	52.359471
3.631E+14	1844	11016.87931	14689.17241	0.15	4	54801.46076	9.698778498	3.048923679	259.1585127	8	65818.34007	236.9460242	85	A	H	31	4.891516	52.366588
3.631E+14	2001	15789.46535	18575.84158	0.17	4	54708.41782	10.6987785	3.050880626	625.4305284	3	70497.88317	253.7923794	205	C	K	130	4.914951	52.369156
3.631E+14	1888	21489.07723	25281.26733	0.17	4	49637.88154	10.6987785	3.050880626	567.4637965	3	71126.95877	256.0570516	186	G	K	134	4.875005	52.372405
3.631E+14	1800	21604.6099	25417.18812	0.17	4	49904.75187	10.6987785	3.050880626	570.5146771	3	71509.36177	257.4337024	187	G	K	187	4.891097	52.376563
3.631E+14	1988	13177.80974	21963.01624	0.12	4	30042.66719	8.698778498	3.3525	422.415	3	43220.47693	155.5937169	126	A	D	126	4.899368	52.369533
3.631E+14	1005	13282.39553	22137.32589	0.12	4	30281.10105	8.698778498	3.3525	425.7675	3	43563.49659	156.8285877	127	A	D	31	4.92964	52.370031
3.631E+14	1745	13386.98133	22311.63554	0.12	4	30519.53492	8.698778498	3.3525	429.12	3	43906.51625	158.0634585	128	A	D	128	4.892911	52.369246
3.631E+14	1990	13805.32449	23008.87415	0.12	4	31473.27039	8.698778498	3.3525	442.53	3	45278.59488	163.0029416	132	A	D	37	4.879537	52.369081
3.631E+14	1710	13805.32449	23008.87415	0.12	4	31473.27039	8.698778498	3.3525	442.53	3	45278.59488	163.0029416	132	A	D	132	4.888702	52.363548
3.631E+14	1727	13909.91028	23183.18381	0.12	4	31711.70425	8.698778498	3.3525	445.8825	3	45621.61454	164.2378123	133	A	D	53	4.888397	52.363241
3.631E+14	1857	14119.08187	23531.80311	0.12	4	32188.57199	8.698778498	3.3525	452.5875	3	46307.65385	166.7075539	135	A	D	17	4.888716	52.360968
3.631E+14	1650	14223.66766	23706.11276	0.12	4	32427.00585	8.698778498	3.3525	455.94	3	46650.67351	167.9424246	136	A	D	54	4.892028	52.375974
3.631E+14	1763	11959.5	15946	0.15	4	45130.61474	9.698778498	3.048923679	213.4246575	8	57090.11474	205.5244131	70	C	H	70	4.899853	52.373507
3.631E+14	2011	8811.291881	10366.22574	0.17	4	38162.45731	10.6987785	3.050880626	436.2759295	3	46973.74919	169.1054971	143	A	K	38	4.896639	52.373341
3.631E+14	1915	14432.83924	24054.73207	0.12	4	32903.87359	8.698778498	3.3525	462.645	3	47336.71283	170.4121662	138	A	D	42	4.881978	52.376488
3.631E+14	1005	14537.42503	24229.04172	0.12	4	33142.30745	8.698778498	3.3525	465.9975	3	47679.73249	171.647037	139	A	D	55	4.930151	52.37033
3.631E+14	1882	11146.48966	14861.98621	0.15	4	55446.18382	9.698778498	3.048923679	262.2074364	8	66592.67348	239.7336245	86	A	H	30	4.931037	52.371232
3.631E+14	1894	59747.826	70291.56	0.17	4	622958.9053	9.698778498	4	3928	6	682706.7313	2457.744233	982	F	O	982	4.890047	52.381169
3.631E+14	1875	15052.47414	20069.96552	0.15	4	45130.61474	9.698778498	3.048923679	213.4246575	8	60183.08888	216.65912	70	E	H	70	4.881342	52.378175
3.631E+14	1704	21593.59385	28791.45846	0.15	4	96584.18405	11.6987785	2.9875	1514.6625	2	118177.7779	425.4400004	507	A++	L	507	4.904736	52.374219
3.631E+14	1824	15267.50948	20356.67931	0.15	4	45775.33781	9.698778498	3.048923679	216.4735812	8	61042.84729	219.7542502	71	E	H	0	4.89468	52.376542
3.631E+14	1985	22637.625	30183.5	0.15	4	93484.84482	9.698778498	3.048923679	442.0939335	8	116122.4698	418.0408913	145	B	H	50	4.899897	52.37358
3.631E+14	1635	11959.5	15946	0.15	4	45130.61474	9.698778498	3.048923679	213.4246575	8	57090.11474	205.5244131	70	C	H	70	4.895904	52.366786
3.631E+14	1994	14642.01082	24403.35137	0.12	4	33380.74132	8.698778498	3.3525	469.35	3	48022.75214	172.8819077	140	A	D	43	4.882738	52.375539
3.631E+14	1838	14851.18241	24751.97068	0.12	4	33857.60905	8.698778498	3.3525	476.055	3	48708.79146	175.3516493	142	A++	D	40	4.891464	52.360719
3.631E+14	1788	14851.18241	24751.97068	0.12	4	33857.60905	8.698778498	3.3525	476.055	3	48708.79146	175.3516493	142	A	D	142	4.891112	52.3686
3.631E+14	1905	15060.35399	25100.58999	0.12	4	34334.47679	8.698778498	3.3525	482.76	3	49394.83078	177.8213908	144	A	D	78	4.888746	52.381901
3.631E+14	1981	15164.93978	25274.89964	0.12	4	34572.91065	8.698778498	3.3525	486.1125	3	49737.85044	179.0562616	145	A	D	32	4.886028	52.383237
3.631E+14	1005	37626.508	44266.48	0.17	4	619152.6391	9.698778498	4	3904	6	656779.1471	2364.40493	976	B	O	345	4.905468	52.360813
3.631E+14	1892	15164.93978	25274.89964	0.12	4	34572.91065	8.698778498	3.3525	486.1125	3	49737.85044	179.0562616	145	A	D	50	4.930107	52.370303
3.631E+14	1937	15269.52557	25449.20929	0.12	4	34811.34452	8.698778498	3.3525	489.465	3	50080.87009	180.2911323	146	A	D	76	4.885881	52.3833
3.631E+14	1725	15583.28295	25972.13825	0.12	4	35526.64612	8.698778498	3.3525	499.5225	3	51109.92907	183.9957446	149	A	D	42	4.899932	52.372995
3.631E+14	1940	15583.28295	25972.13825	0.12	4	35526.64612	8.698778498	3.3525	499.5225	3	51109.92907	183.9957446	149	A	D	49	4.886934	52.381057
3.631E+14	1826	15789.46535	18575.84158	0.17	4	54708.41782	10.6987785	3.050880626	625.4305284	3	70497.88317	253.7923794	205	C	K	64	4.907552	52.37175
3.631E+14	1940	22066.74059	25960.87129	0.17	4	50972.23319	10.6987785	3.050880626	582.7181996	3	73038.97379	262.9403056	191	G	K	77	4.880944	52.37572
3.631E+14	1992	16097.55248	18938.29703	0.17	4	55775.89915	10.6987785	3.050880626	637.6340509	3	71873.45162	258.7444258	209	C	K	62	4.877162	52.375129
3.631E+14	1987	11664.93103	15553.24138	0.15	4	58025.07609	9.698778498	3.048923679	274.4031311	8	69690.00713	250.8840257	90	A	H	90	4.901169	52.375382
3.631E+14	1906	15687.86874	26146.4479	0.12	4	35765.07999	8.698778498	3.3525	502.875	3	51452.94873	185.2306154	150	A	D	150	4.896944	52.376345
