in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
triple_glas,h_insulation,l_r_insulation,No gap_s + vA,False,False,120.103893,3.99242,48.499203,205.539478,46103.392411,714.126811,LT-ready,3136.039856,Almost LT-ready,0.365297,True,8.59589,False,Windowstriple_glas_Wallsh_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,207.516445,4.470541,48.977324,293.430151,70434.929035,1466.84273,Almost LT-ready,3452.390588,Almost LT-ready,49.109589,False,6.004566,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,191.149948,4.553876,49.060659,277.146989,65887.94182,1371.277586,LT-ready,3279.116544,Almost LT-ready,46.19863,False,6.484018,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,178.729946,4.584038,49.090821,264.757149,62435.721185,1294.584474,LT-ready,3144.872725,Almost LT-ready,43.812785,False,6.700913,False,WindowsHR++_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,170.100505,4.64051,49.147293,256.18418,60038.89403,1246.362424,LT-ready,3062.072431,Almost LT-ready,42.203196,False,6.986301,False,Windowstriple_glas_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,False,160.354373,3.773648,48.280432,245.571187,57285.202685,1047.911926,LT-ready,3171.515395,Almost LT-ready,12.420091,False,5.456621,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,False,142.831447,3.86043,48.367213,228.135042,52416.810477,944.001864,LT-ready,2991.58791,Almost LT-ready,8.47032,False,6.232877,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,False,129.430234,3.893845,48.400629,214.767245,48691.899556,860.379,LT-ready,2851.571518,Almost LT-ready,5.730594,False,6.974886,False,WindowsHR++_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,False,121.091841,3.958833,48.465617,206.49384,46376.43393,807.666431,LT-ready,2764.818672,Almost LT-ready,4.383562,False,7.728311,False,Windowstriple_glas_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,l_insulation,m_r_insulation,No gap_s + vA,False,False,157.463232,3.734437,48.24122,242.640834,56479.271006,1022.480079,LT-ready,3154.598578,Almost LT-ready,10.10274,False,5.388128,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,m_r_insulation,No gap_s + vA,False,False,139.758232,3.823014,48.329798,225.024412,51560.338133,918.012613,LT-ready,2974.177512,Almost LT-ready,6.289954,False,6.335616,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,m_r_insulation,No gap_s + vA,False,False,126.410269,3.856917,48.363701,211.710352,47850.259326,833.929582,LT-ready,2833.711957,Almost LT-ready,4.246575,False,7.134703,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,m_r_insulation,No gap_s + vA,False,False,118.15207,3.920356,48.427139,203.515591,45557.016134,780.912014,LT-ready,2746.629853,Almost LT-ready,3.1621,False,8.025114,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,m_r_insulation,No gap_s + vA,False,False,151.728906,3.654143,48.160927,236.826215,54880.649383,971.516885,LT-ready,3120.684411,Almost LT-ready,5.6621,False,5.479452,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,m_r_insulation,No gap_s + vA,False,False,133.950617,3.749492,48.256276,219.143275,49941.676218,865.92071,LT-ready,2939.221612,Almost LT-ready,3.356164,False,6.609589,False,Windowsacht_w_foil_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,m_insulation,m_r_insulation,No gap_s + vA,False,False,120.45799,3.786955,48.293738,205.68811,46191.548083,780.881754,LT-ready,2797.771834,Almost LT-ready,1.872146,False,7.317352,False,WindowsHR++_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,m_insulation,m_r_insulation,No gap_s + vA,False,False,112.18547,3.848754,48.355537,197.477389,43894.240278,727.236685,LT-ready,2709.956348,Almost LT-ready,0.913242,True,8.424658,False,Windowstriple_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,h_insulation,m_r_insulation,No gap_s + vA,False,False,148.700196,3.614941,48.121725,233.758303,54036.463239,944.466241,LT-ready,3102.662453,Almost LT-ready,4.063927,False,5.513699,False,Windowsdouble_glas_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,m_r_insulation,No gap_s + vA,False,False,130.855475,3.708215,48.214999,216.006856,49078.912637,838.250022,LT-ready,2920.601158,Almost LT-ready,2.157534,False,6.757991,False,Windowsacht_w_foil_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,h_insulation,m_r_insulation,No gap_s + vA,False,False,117.277981,3.738399,48.245182,202.459545,45304.819534,752.69177,LT-ready,2778.576272,Almost LT-ready,0.810502,True,7.659817,False,WindowsHR++_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,h_insulation,m_r_insulation,No gap_s + vA,False,False,109.058679,3.81334,48.320124,194.315185,43022.970074,698.705318,LT-ready,2690.318459,Almost LT-ready,0.273973,True,8.835616,False,Windowstriple_glas_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,non_insulated_w,h_r_insulation,No gap_s + vA,False,False,202.795841,4.388792,48.895576,288.627799,69118.128586,1460.864959,Almost LT-ready,3261.332334,Almost LT-ready,49.006849,False,6.038813,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofh_r_insulation_InfiltrationNogap_s+vA.png
