in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,m_insulation,m_r_insulation,Good gap_s + vD,False,True,50.835064,3.207215,47.713999,135.485445,26801.822595,465.029812,LT-ready,1897.00502,LT-ready,0,True,29.920091,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
acht_w_foil,m_insulation,m_r_insulation,Good gap_s + vD,True,True,38.212607,3.297464,47.804248,122.953237,23296.319004,356.964838,LT-ready,1805.487749,LT-ready,0,True,42.945205,False,Windowsacht_w_foil_Wallsm_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
HR++,m_insulation,m_r_insulation,Good gap_s + vD,True,True,30.342593,3.339307,47.846091,115.125066,21109.937952,553.951585,LT-ready,1850.133233,LT-ready,0,True,56.107306,False,WindowsHR++_Wallsm_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
triple_glas,m_insulation,m_r_insulation,Good gap_s + vD,True,True,26.062844,3.404483,47.911267,110.910493,19923.10299,226.118482,LT-ready,2061.694031,LT-ready,0,True,66.8379,False,Windowstriple_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
double_glas,h_insulation,m_r_insulation,Good gap_s + vD,True,True,48.834555,3.18513,47.691914,133.462851,26244.41594,445.568154,LT-ready,1867.012906,LT-ready,0,True,31.267123,False,Windowsdouble_glas_Wallsh_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
acht_w_foil,h_insulation,m_r_insulation,Good gap_s + vD,True,True,36.383971,3.272487,47.77927,121.099623,22786.561335,337.13338,LT-ready,1799.96185,LT-ready,0,True,45.490868,False,Windowsacht_w_foil_Wallsh_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
HR++,h_insulation,m_r_insulation,Good gap_s + vD,True,True,28.549974,3.308933,47.815717,113.302073,20609.92504,390.915999,LT-ready,1759.31669,LT-ready,0,True,58.926941,False,WindowsHR++_Wallsh_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
triple_glas,h_insulation,m_r_insulation,Good gap_s + vD,True,True,25.037284,3.368521,47.875305,109.848971,19636.11219,294.175046,LT-ready,2121.674546,LT-ready,0,True,70.639269,False,Windowstriple_glas_Wallsh_insulation_Roofm_r_insulation_InfiltrationGoodgap_s+vD.png
double_glas,l_insulation,h_r_insulation,Good gap_s + vD,True,True,42.690669,3.068119,47.574903,127.201954,24530.061871,458.088146,LT-ready,1688.074307,LT-ready,0,True,30.273973,False,Windowsdouble_glas_Wallsl_insulation_Roofh_r_insulation_InfiltrationGoodgap_s+vD.png
acht_w_foil,l_insulation,h_r_insulation,Good gap_s + vD,True,True,31.193658,3.166068,47.672852,115.802892,21337.90692,349.25948,LT-ready,2065.85103,LT-ready,0,True,43.36758,False,Windowsacht_w_foil_Wallsl_insulation_Roofh_r_insulation_InfiltrationGoodgap_s+vD.png
HR++,l_insulation,h_r_insulation,Good gap_s + vD,True,True,22.823054,3.196487,47.70327,107.462706,19011.749249,266.97581,LT-ready,1850.983334,LT-ready,0,True,56.609589,False,WindowsHR++_Wallsl_insulation_Roofh_r_insulation_InfiltrationGoodgap_s+vD.png
triple_glas,l_insulation,h_r_insulation,Good gap_s + vD,True,True,20.076622,3.259443,47.766227,104.779231,18251.185267,486.651725,LT-ready,2265.38566,LT-ready,0,True,67.648402,False,Windowstriple_glas_Wallsl_insulation_Roofh_r_insulation_InfiltrationGoodgap_s+vD.png
double_glas,m_insulation,h_r_insulation,Good gap_s + vD,True,True,42.295454,3.057463,47.564246,126.796082,24419.626305,451.142889,LT-ready,1529.424019,LT-ready,0,True,30.673516,False,Windowsdouble_glas_Wallsm_insulation_Roofh_r_insulation_InfiltrationGoodgap_s+vD.png
acht_w_foil,m_insulation,h_r_insulation,Good gap_s + vD,True,True,30.480163,3.155725,47.662508,115.079053,21138.980269,342.175336,LT-ready,2064.527168,LT-ready,0,True,44.394977,False,Windowsacht_w_foil_Wallsm_insulation_Roofh_r_insulation_InfiltrationGoodgap_s+vD.png
HR++,m_insulation,h_r_insulation,Good gap_s + vD,True,True,22.619948,3.182097,47.68888,107.24521,18954.54771,490.961276,LT-ready,1921.195137,LT-ready,0,True,57.568493,False,WindowsHR++_Wallsm_insulation_Roofh_r_insulation_InfiltrationGoodgap_s+vD.png
