in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
triple_glas,non_insulated_w,m_r_insulation,No gap_s + vA,False,False,92.830825,4.032112,48.538895,178.306102,38521.333202,569.345865,LT-ready,2960.283793,Almost LT-ready,0,True,42.534247,False,Windowstriple_glas_Wallsnon_insulated_w_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,False,108.786742,3.545445,48.052228,193.775352,42933.906175,656.65057,LT-ready,3117.129872,Almost LT-ready,0,True,27.340183,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,False,93.624545,3.644851,48.151635,178.712562,38722.615334,549.071297,LT-ready,2936.015172,Almost LT-ready,0,True,38.390411,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,False,82.102654,3.687312,48.194096,167.233132,35520.757182,462.392269,LT-ready,2794.540659,Almost LT-ready,0,True,50.410959,False,WindowsHR++_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,cavity_w_insulation,m_r_insulation,No gap_s + vA,False,True,75.022764,3.7494,48.256184,160.21533,33555.108523,407.644214,LT-ready,2706.346954,Almost LT-ready,0,True,59.46347,False,Windowstriple_glas_Wallscavity_w_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,l_insulation,m_r_insulation,No gap_s + vA,False,False,107.719746,3.529152,48.035936,192.692064,42636.380037,647.544864,LT-ready,3103.082332,Almost LT-ready,0,True,27.853881,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,m_r_insulation,No gap_s + vA,False,False,92.550656,3.627101,48.133884,177.620922,38423.099182,539.798551,LT-ready,2921.635541,Almost LT-ready,0,True,39.155251,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,m_r_insulation,No gap_s + vA,False,False,81.09635,3.671729,48.178513,166.211245,35240.143759,452.973949,LT-ready,2779.840546,Almost LT-ready,0,True,51.506849,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,m_r_insulation,No gap_s + vA,False,True,74.025692,3.724985,48.231769,159.193843,33276.619094,398.125564,LT-ready,2691.389943,Almost LT-ready,0,True,60.993151,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,m_r_insulation,No gap_s + vA,False,False,105.616081,3.501565,48.008349,190.560812,42050.011813,629.416889,LT-ready,3075.137517,Almost LT-ready,0,True,28.972603,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
